Feature,Importance
G2,0.7924334438043914
absences,0.10964045643175874
reason_home,0.019317861403182677
age,0.010206438454654448
G1,0.005926820685606943
famrel,0.004590269272562487
reason_course,0.00420096054536537
goout,0.003919291866259491
health,0.0035108456936761906
studytime,0.0034562309006721578
romantic_no,0.002930955515534293
Walc,0.0023230246476460804
guardian_other,0.0022926422671727007
guardian_mother,0.002232172160815655
Fedu,0.0020345738497483147
Fjob_services,0.0018590336649875405
activities_yes,0.0017254267777885403
activities_no,0.0016989468866188435
schoolsup_yes,0.0015043676294716566
Fjob_other,0.0014930238491613595
freetime,0.00145659238509701
Medu,0.0013134415792732175
schoolsup_no,0.0012089740270641589
traveltime,0.00113793828529385
Mjob_teacher,0.0011298138925404178
failures,0.0010293246596124166
Mjob_other,0.0010169448973207942
Dalc,0.0009971444989398655
Fjob_at_home,0.0009504087037811421
reason_other,0.0009161756871915895
Mjob_health,0.0008028644725766794
internet_yes,0.0006840795302629983
Mjob_at_home,0.0006453770371089796
Fjob_health,0.0005977458245825933
paid_yes,0.0005970233081795608
sex_F,0.0005771145243198795
guardian_father,0.0005697776211955611
internet_no,0.0005163729645571264
famsup_yes,0.0004983015356676847
reason_reputation,0.0004904390589070103
Mjob_services,0.00045604863582122403
famsize_LE3,0.00041692638698354696
romantic_yes,0.0003985287465865526
nursery_no,0.000393574057020336
paid_no,0.0003704123936632301
sex_M,0.0003556685969359123
famsize_GT3,0.0003534646248783557
Pstatus_A,0.000353388348150228
Pstatus_T,0.0003526535483451274
Fjob_teacher,0.000344203273435558
address_U,0.0003004433945721997
school_GP,0.00028742259017424483
famsup_no,0.0002845913338974488
nursery_yes,0.0002185867671060803
address_R,0.00019772656028625295
higher_no,0.00019640699130620915
school_MS,0.00015369397103789738
higher_yes,0.00013361897925245214
